"","N_groups","model","N_fac","bias","SD","N","SE"
"1685",698,"Fixed Effect","5000",0.267928571428571,1.21544525993324,28,0.229697563571115
"1686",698,"MAIHDA","5000",0.565607142857143,1.19686854809898,28,0.226186895021776
"1687",699,"Fixed Effect","5000",0.101842105263158,1.53689550946626,19,0.352588011186572
"1688",699,"MAIHDA","5000",0.25578947368421,1.66287072989078,19,0.381488708829769
"1689",700,"Fixed Effect","5000",-0.442416666666667,1.22559075078339,24,0.250172664407821
"1690",700,"MAIHDA","5000",-0.228125,1.29327663782987,24,0.263988988245448
"1691",701,"Fixed Effect","5000",0.1381,1.02054824791177,20,0.228201525664903
"1692",701,"MAIHDA","5000",0.1511,1.03754760956077,20,0.232002698487029
"1693",702,"Fixed Effect","5000",-0.0723,1.16638726490139,30,0.212952205257748
"1694",702,"MAIHDA","5000",0.1157,1.14688111249898,30,0.209390885364104
"1695",703,"Fixed Effect","5000",-0.158107142857143,1.29716949231738,28,0.245141991783694
"1696",703,"MAIHDA","5000",0.121892857142857,1.3163479878559,28,0.248766386763356
"1697",704,"Fixed Effect","5000",-0.452230769230769,1.30748112973587,26,0.256418145929905
"1698",704,"MAIHDA","5000",-0.269423076923077,1.4058885069045,26,0.275717420409302
"1699",705,"Fixed Effect","5000",-0.16196875,1.02330979398998,32,0.18089732364623
"1700",705,"MAIHDA","5000",0.092125,1.06970583083207,32,0.189099061714037
"1701",706,"Fixed Effect","5000",0.465071428571429,1.19508375434284,28,0.22584960070604
"1702",706,"MAIHDA","5000",0.65525,1.21484392001607,28,0.229583921008668
"1703",707,"Fixed Effect","5000",-0.051054054054054,0.860189899768454,37,0.141414348412231
"1704",707,"MAIHDA","5000",0.192189189189189,0.868904669295962,37,0.142847047697152
"1705",708,"Fixed Effect","5000",0.311421052631579,1.70997830771782,19,0.392295928367825
"1706",708,"MAIHDA","5000",0.680736842105263,1.65825878700472,19,0.380430656567995
"1707",709,"Fixed Effect","5000",-0.350075,1.4104519804313,40,0.223012039422907
"1708",709,"MAIHDA","5000",-0.171475,1.35033515284169,40,0.213506734378567
"1709",710,"Fixed Effect","5000",-0.04025,1.21551349811615,40,0.192189559036291
"1710",710,"MAIHDA","5000",0.1462,1.26757983008607,40,0.20042196895806
"1711",711,"Fixed Effect","5000",-0.0698076923076923,0.973067398250739,26,0.190834217373903
"1712",711,"MAIHDA","5000",0.0371153846153846,0.996438310260021,26,0.195417630311818
"1713",712,"Fixed Effect","5000",0.0149285714285715,1.06438742349841,28,0.201150315800113
"1714",712,"MAIHDA","5000",0.218821428571429,1.06975646427453,28,0.202164969133868
"1715",713,"Fixed Effect","5000",-0.00165384615384611,0.9784702731226,26,0.191893808312408
"1716",713,"MAIHDA","5000",0.150730769230769,0.977996096421343,26,0.191800814610385
"1717",714,"Fixed Effect","5000",0.119470588235294,1.44549239246856,34,0.247899900142619
"1718",714,"MAIHDA","5000",0.292470588235294,1.52756114265953,34,0.261974574684783
"1719",715,"Fixed Effect","5000",0.0434324324324324,1.23539030136095,37,0.2030969144706
"1720",715,"MAIHDA","5000",0.288405405405405,1.28141281533443,37,0.210662969161087
"1721",716,"Fixed Effect","5000",-0.124363636363636,1.36642159988649,33,0.237863469155475
"1722",716,"MAIHDA","5000",0.0641818181818182,1.33107352009913,33,0.231710158283556
"1723",717,"Fixed Effect","5000",0.187735294117647,1.20874413436134,34,0.207297908842276
"1724",717,"MAIHDA","5000",0.417470588235294,1.17279508751126,34,0.201132698170267
"1725",718,"Fixed Effect","5000",0.00802777777777778,1.22414442392837,36,0.204024070654728
"1726",718,"MAIHDA","5000",0.152138888888889,1.23287986097077,36,0.205479976828461
"1727",719,"Fixed Effect","5000",0.155882352941176,1.42313062422904,34,0.244064888528256
"1728",719,"MAIHDA","5000",0.305882352941176,1.42957119582117,34,0.245169437443815
"1729",720,"Fixed Effect","5000",-0.308666666666667,1.25844932426951,39,0.201513166952536
"1730",720,"MAIHDA","5000",-0.125205128205128,1.3009423746186,39,0.208317500654482
"1731",721,"Fixed Effect","5000",-0.290032258064516,1.28171217475872,31,0.230202302258935
"1732",721,"MAIHDA","5000",-0.210677419354839,1.25698343630288,31,0.225760889719831
"1733",722,"Fixed Effect","5000",0.223,1.12032281062201,31,0.201215916769251
